"Nível","Cód.","Unidade da Federação","1970","1975","1980","1985","1995","2006"
"UF","11","Rondônia","1631640.00","3082052.00","5223630.00","6032645.00","8890440.00","8433867.76"
"UF","12","Acre","4122084.00","4291777.00","5679532.00","5234762.00","3183065.00","3528542.74"
"UF","13","Amazonas","4475941.00","6497198.00","7009594.00","5859511.00","3322566.00","3668753.07"
"UF","14","Roraima","1594398.00","1836202.00","2463106.00","2149536.00","2976817.00","1717531.97"
"UF","15","Pará","10754828.00","16166733.00","20448421.00","24727830.00","22520229.00","22925330.66"
"UF","16","Amapá","603441.00","742001.00","735128.00","1208020.00","700047.00","873788.50"
"UF","17","Tocantins","...","...","...","17354402.00","16765716.00","14387949.21"
"UF","21","Maranhão","10794912.00","12409067.00","15134236.00","15548267.00","12560692.00","13033567.52"
"UF","22","Piauí","9606730.00","10523517.00","11162096.00","11828025.00","9659972.00","9506597.39"
"UF","23","Ceará","12104811.00","10991579.00","11743268.00","11009161.00","8963842.00","7948066.68"
"UF","24","Rio Grande do Norte","4571683.00","4376359.00","4513493.00","4383018.00","3733521.00","3187928.24"
"UF","25","Paraíba","4582830.00","4736225.00","4906465.00","4872094.00","4109347.00","3787404.39"
"UF","26","Pernambuco","6393597.00","6294682.00","6655794.00","6699919.00","5580734.00","5434075.76"
"UF","27","Alagoas","2238522.00","2284369.00","2396569.00","2363770.00","2142460.00","2112574.21"
"UF","28","Sergipe","1743200.00","1809540.00","1897771.00","1918508.00","1702628.00","1482436.59"
"UF","29","Bahia","22260826.00","25263546.00","30032595.00","33431402.00","29842900.00","29581759.97"
"UF","31","Minas Gerais","42008554.00","44623332.00","46362287.00","45836651.00","40811660.00","33083508.60"
"UF","32","Espírito Santo","3759359.00","3838841.00","3798226.00","3895426.00","3488725.00","2839854.21"
"UF","33","Rio de Janeiro","3316063.00","3446176.00","3181385.00","3264149.00","2416305.00","2059461.51"
"UF","34","Guanabara","28251.00","...","...","...","...","..."
"UF","35","São Paulo","20416024.00","20555588.00","20160998.00","20245287.00","17369204.00","16954948.56"
"UF","41","Paraná","14625530.00","15630962.00","16330330.00","16698864.00","15946632.00","15391782.18"
"UF","42","Santa Catarina","7025326.00","6877280.00","7473777.00","7419541.00","6612846.00","6062506.06"
"UF","43","Rio Grande do Sul","23807180.00","23663793.00","24057611.00","23821694.00","21800887.00","20326714.76"
"UF","50","Mato Grosso do Sul","...","28692584.00","30743738.00","31108813.00","30942772.00","30274975.48"
"UF","51","Mato Grosso","17274745.00","21949146.00","34554548.00","37835651.00","49839631.00","48688710.59"
"UF","52","Goiás","24332673.00","27689998.00","29185339.00","29864104.00","27472648.00","26136080.88"
"UF","53","Distrito Federal","170020.00","185062.00","285145.00","313822.00","244930.00","251319.74"
