UF;Número de estabelecimentos agropecuários (Unidades);Área dos estabelecimentos agropecuários (Hectares)
Rondônia;91438;9219883
Acre;37356;4232700
Amazonas;80959;4018578
Roraima;16846;2636279
Pará;281699;28419453
Amapá;8507;1506294
Tocantins;63808;15180162
Maranhão;219765;12238489
Piauí;245601;10009858
Ceará;394330;6908179
Rio Grande do Norte;63452;2723148
Paraíba;163218;3424540
Pernambuco;281688;4471219
Alagoas;98542;1636712
Sergipe;93275;1460860
Bahia;762848;28020859
Minas Gerais;607557;38168688
Espírito Santo;108014;3246763
Rio de Janeiro;65224;2375373
São Paulo;188620;16512145
Paraná;305154;14741967
Santa Catarina;183066;6448785
Rio Grande do Sul;365094;21684558
Mato Grosso do Sul;71164;30549179
Mato Grosso;118679;54922850
Goiás;152174;26275245
Distrito Federal;5246;257047
;;
