"Nível","Cód.","Unidade da Federação","1970","1975","1980","1985","1995","2006"
"UF","11","Rondônia","7082","25483","48371","80615","76956","87078"
"UF","12","Acre","23102","25001","27371","35049","23788","29483"
"UF","13","Amazonas","85251","92741","100623","116302","83289","66784"
"UF","14","Roraima","1953","3019","3742","6389","7476","10310"
"UF","15","Pará","141442","186954","223762","253222","206404","222029"
"UF","16","Amapá","2315","4009","4304","4816","3349","3527"
"UF","17","Tocantins","...","...","...","47320","44913","56567"
"UF","21","Maranhão","396761","496737","496758","531413","368191","287039"
"UF","22","Piauí","217886","216704","249129","270443","208111","245378"
"UF","23","Ceará","245432","251650","245878","324278","339602","381017"
"UF","24","Rio Grande do Norte","103630","104842","106458","115736","91376","83053"
"UF","25","Paraíba","169667","199987","167485","203277","146539","167286"
"UF","26","Pernambuco","331409","316562","330701","356041","258630","304790"
"UF","27","Alagoas","105160","115576","117986","142774","115064","123332"
"UF","28","Sergipe","95276","101234","95892","115271","99774","100607"
"UF","29","Bahia","541566","548123","637225","739006","699126","761558"
"UF","31","Minas Gerais","453998","463515","480631","551488","496677","551621"
"UF","32","Espírito Santo","70712","60585","59380","69140","73288","84361"
"UF","33","Rio de Janeiro","77428","76235","77671","91280","53680","58493"
"UF","34","Guanabara","5038","...","...","...","...","..."
"UF","35","São Paulo","326780","278349","273187","282070","218016","227622"
"UF","41","Paraná","554488","478453","454103","466397","369875","371063"
"UF","42","Santa Catarina","207218","206505","216159","234973","203347","193668"
"UF","43","Rio Grande do Sul","512303","471622","475286","497172","429958","441472"
"UF","50","Mato Grosso do Sul","...","57853","47943","54631","49423","64864"
"UF","51","Mato Grosso","46090","56118","63383","77921","78762","112987"
"UF","52","Goiás","107548","111903","110652","131365","111791","135692"
"UF","53","Distrito Federal","1913","1859","2652","3420","2459","3955"
